num,title,director,actors,country,language,score,commentors,releasedate,runtime,series,commente
76,天使爱美丽,让-皮埃尔·热内,"['奥黛丽·塔图', '马修·卡索维茨', '吕菲斯', '洛莱拉·克拉沃塔']",法国 / 德国,法语 / 俄语,8.7,622677,2001-04-25(法国),122分钟,"['喜剧', '爱情']",法式小清新。 
77,沉默的羔羊,乔纳森·戴米,"['朱迪·福斯特', '安东尼·霍普金斯', '斯科特·格伦', '安东尼·希尔德']",美国,英语,8.8,466102,1991-02-14(美国),118分钟,"['剧情', '惊悚', '犯罪']",安东尼·霍普金斯的顶级表演。
78,勇敢的心,梅尔·吉布森,"['梅尔·吉布森', '苏菲·玛索', '布莱恩·考克斯', '詹姆斯·卡沙莫']",美国,英语 / 法语 / 拉丁语 / 苏格兰盖尔语,8.9,369676,1995-05-18(西雅图电影节),177 分钟,"['剧情', '动作', '传记', '历史', '战争']",史诗大片的典范。
79,猫鼠游戏,史蒂文·斯皮尔伯格,"['莱昂纳多·迪卡普里奥', '汤姆·汉克斯', '克里斯托弗·沃肯', '马丁·辛']",美国 / 加拿大,英语 / 法语,8.9,358492,2002-12-16(洛杉矶首映),141 分钟,"['剧情', '传记', '犯罪']",骗子大师和执著警探的你追我跑故事。 
80,蝴蝶效应,埃里克·布雷斯,"['阿什顿·库彻', '梅洛拉·沃尔特斯', '艾米·斯马特', '埃尔登·汉森']",美国 / 加拿大,英语,8.7,512970,2004-01-23(美国),113分钟,"['剧情', '科幻', '悬疑', '惊悚']",人的命运被自己瞬间的抉择改变。
81,剪刀手爱德华,蒂姆·波顿,"['约翰尼·德普', '薇诺娜·瑞德', '黛安·韦斯特', '安东尼·迈克尔·豪尔']",美国,英语,8.7,637311,1990-12-06(美国),105分钟,"['剧情', '爱情', '奇幻']",浪漫忧郁的成人童话。
82,春光乍泄,王家卫,"['张国荣', '梁朝伟', '张震']",香港 / 日本 / 韩国,粤语 / 汉语普通话 / 西班牙语,8.9,341459,1997-05-17(戛纳电影节),96分钟,"['剧情', '爱情', '同性']",爱情纠缠，男女一致。
83,心灵捕手,格斯·范·桑特,"['马特·达蒙', '罗宾·威廉姆斯', '本·阿弗莱克', '斯特兰·斯卡斯加德']",美国,英语,8.8,373898,1997-12-05(美国),126 分钟,['剧情'],人生中应该拥有这样的一段豁然开朗。
84,禁闭岛,马丁·斯科塞斯,"['莱昂纳多·迪卡普里奥', '马克·鲁弗洛', '本·金斯利', '马克斯·冯·叙多夫']",美国,英语 / 德语,8.7,498369,2010-02-13(柏林电影节),138 分钟,"['剧情', '悬疑', '惊悚']",昔日翩翩少年，今日大腹便便。
85,布达佩斯大饭店,韦斯·安德森,"['拉尔夫·费因斯', '托尼·雷沃罗利', '艾德里安·布洛迪', '威廉·达福']",美国 / 德国 / 英国,英语 / 法语 / 德语,8.8,461503,2014-02-06(柏林电影节),99分钟,"['剧情', '喜剧', '冒险']",小清新的故事里注入了大历史的情怀。
86,穿条纹睡衣的男孩,马克·赫尔曼,"['阿萨·巴特菲尔德', '维拉·法米加', '卡拉·霍根', '祖萨·霍尔']",英国 / 美国,英语 / 西班牙语,9.0,228455,2008-09-12(英国),94分钟,"['剧情', '战争']",尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
87,入殓师,泷田洋二郎,"['本木雅弘', '广末凉子', '山崎努', '吉行和子']",日本,日语,8.8,386000,2008-09-13(日本),130 分钟,['剧情'],死可能是一道门，逝去并不是终结，而是超越，走向下一程。
88,阿凡达,詹姆斯·卡梅隆,"['萨姆·沃辛顿', '佐伊·索尔达娜', '西格妮·韦弗', '史蒂芬·朗']",美国 / 英国,英语 / 西班牙语,8.7,732025,2010-01-04(中国大陆),162分钟,"['动作', '科幻', '战争', '冒险']",绝对意义上的美轮美奂。
89,幽灵公主,宫崎骏,"['松田洋治', '石田百合子', '田中裕子', '小林薰']",日本,日语,8.8,313705,1997-07-12(日本),134分钟,"['动画', '奇幻', '冒险']",人与自然的战争史诗。
90,阳光灿烂的日子,姜文,"['夏雨', '宁静', '陶虹', '耿乐']",中国大陆 / 香港,汉语普通话,8.8,359060,1995-08-21(中国大陆),134分钟(中国大陆),"['剧情', '爱情']",一场华丽的意淫。
91,致命ID,詹姆斯·曼高德,"['约翰·库萨克', '雷·利奥塔', '阿曼达·皮特', '阿尔弗雷德·莫里纳']",美国,英语,8.7,427470,2003-04-25(美国),90分钟,"['剧情', '悬疑', '惊悚']",最不可能的那个人永远是最可能的。
92,第六感,M·奈特·沙马兰,"['布鲁斯·威利斯', '海利·乔·奥斯蒙', '托妮·科莱特', '奥莉维亚·威廉姆斯']",美国,英语 / 拉丁语 / 西班牙语,8.8,307481,1999-08-06(美国),107分钟,"['剧情', '悬疑', '惊悚']",深入内心的恐怖，出人意料的结局。
93,加勒比海盗,戈尔·维宾斯基,"['约翰尼·德普', '杰弗里·拉什', '奥兰多·布鲁姆', '凯拉·奈特莉']",美国,英语,8.7,481537,2003-11-21(中国大陆),143 分钟,"['动作', '奇幻', '冒险']",约翰尼·德普的独角戏。
94,狩猎,托马斯·温特伯格,"['麦斯·米科尔森', '托玛斯·博·拉森', '安妮卡·韦德科普', '拉丝·弗格斯托姆']",丹麦 / 瑞典,丹麦语 / 英语 / 波兰语,9.1,184429,2012-05-20(戛纳电影节),115分钟,['剧情'],人言可畏。
95,玛丽和马克思,亚当·艾略特,"['托妮·科莱特', '菲利普·塞默·霍夫曼', '巴瑞·哈姆弗莱斯', '艾瑞克·巴纳']",澳大利亚,英语 / 意第绪语,8.9,278206,2009-01-15(圣丹斯电影节),92分钟,"['剧情', '喜剧', '动画']",你是我最好的朋友，你是我唯一的朋友 。
96,断背山,李安,"['希斯·莱杰', '杰克·吉伦哈尔', '米歇尔·威廉姆斯', '安妮·海瑟薇']",美国 / 加拿大,英语,8.7,422461,2005-09-02(威尼斯电影节),134分钟,"['剧情', '爱情', '同性', '家庭']",每个人心中都有一座断背山。
97,重庆森林,王家卫,"['林青霞', '金城武', '梁朝伟', '王菲']",香港,粤语 / 汉语普通话 / 英语 / 印地语 / 日语,8.7,439895,1994-07-14(香港),102分钟,"['剧情', '爱情']",寂寞没有期限。
98,摩登时代,查理·卓别林,"['查理·卓别林', '宝莲·高黛', '亨利·伯格曼', 'Tiny Sandford']",美国,英语,9.2,134437,1936-02-25(美国),87分钟,"['剧情', '喜剧', '爱情']",大时代中的人生，小人物的悲喜。
99,喜剧之王,周星驰,"['周星驰', '张柏芝', '莫文蔚', '吴孟达']",香港,粤语,8.7,468550,1999-02-13(香港),85分钟,"['剧情', '喜剧', '爱情']",我是一个演员。
100,告白,中岛哲也,"['松隆子', '冈田将生', '木村佳乃', '西井幸人']",日本,日语,8.7,441851,2010-06-05(日本),106分钟,"['剧情', '惊悚']",没有一人完全善，也没有一人完全恶。
101,大鱼,蒂姆·波顿,"['伊万·麦克格雷格', '阿尔伯特·芬尼', '比利·克鲁德普', '杰西卡·兰格']",美国,英语 / 法语 / 俄语 / 粤语 / 汉语普通话,8.8,327331,2003-12-04(纽约首映),125 分钟,"['剧情', '家庭', '奇幻', '冒险']",抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
102,消失的爱人,大卫·芬奇,"['本·阿弗莱克', '裴淳华', '尼尔·帕特里克·哈里斯', '凯莉·库恩']",美国,英语,8.7,489430,2014-09-26(纽约电影节),149分钟,"['剧情', '悬疑', '惊悚', '犯罪']",年度最佳date movie。
103,一一,杨德昌,"['吴念真', '李凯莉', '金燕玲', '张洋洋']",台湾 / 日本,汉语普通话 / 闽南语 / 英语 / 日语,9.0,199181,2000-05-14(戛纳电影节),173分钟,"['剧情', '爱情', '家庭']",我们都曾经是一一。
104,射雕英雄传之东成西就,刘镇伟,"['梁朝伟', '林青霞', '张国荣', '叶玉卿']",香港,粤语,8.7,361064,1993-02-05(香港),113分钟(香港),"['喜剧', '奇幻', '武侠', '古装']",百看不厌。 
105,阳光姐妹淘,姜炯哲,"['沈恩京', '闵孝琳', '姜素拉', '南宝拉']",韩国,韩语,8.8,353829,2011-05-04(韩国),124分钟,"['剧情', '喜剧']",再多各自牛逼的时光，也比不上一起傻逼的岁月。 
106,甜蜜蜜,陈可辛,"['黎明', '张曼玉', '杨恭如', '曾志伟']",香港,粤语 / 汉语普通话 / 英语,8.8,291447,2015-02-13(中国大陆),118分钟(中国大陆),"['剧情', '爱情']",相逢只要一瞬间，等待却像是一辈子。
107,爱在黎明破晓前,理查德·林克莱特,"['伊桑·霍克', '朱莉·德尔佩', '安德莉亚·埃克特', '汉诺·波西尔']",美国 / 奥地利 / 瑞士,英语 / 德语 / 法语,8.8,300296,1995-01-27(美国),101分钟,"['剧情', '爱情']",缘分是个连绵词，最美不过一瞬。
108,小森林 夏秋篇,森淳一,"['桥本爱', '三浦贵大', '松冈茉优', '温水洋一']",日本,日语,9.0,203521,2014-08-30(日本),111分钟,['剧情'],那些静得只能听见呼吸的日子里，你明白孤独即生活。
109,驯龙高手,迪恩·德布洛斯,"['杰伊·巴鲁切尔', '杰拉德·巴特勒', '克雷格·费格森', '亚美莉卡·费雷拉']",美国,英语,8.7,404185,2010-05-14(中国大陆),98分钟,"['动画', '奇幻', '冒险']",和谐的生活离不开摸头与被摸头。
